,file_directory,captions
135,Airedale/6.jpg,a brown lying Airedale dog looking to the right on the grass .
136,Airedale/7.jpg,a standing dog looking to the right .
137,Airedale/7.jpg,a standing Airedale dog looking to the right .
138,Airedale/7.jpg,a brown standing Airedale dog looking to the right .
139,Airedale/7.jpg,a brown standing Airedale dog looking to the right on the ground .
140,Airedale/8.jpg,a standing dog looking to the front .
141,Airedale/8.jpg,a standing Airedale dog looking to the front .
142,Airedale/8.jpg,a brown standing Airedale dog looking to the front .
143,Airedale/8.jpg,a brown standing Airedale dog looking to the front on the floor .
144,Airedale/9.jpg,a dog looking to the front .
145,Airedale/9.jpg,a Airedale dog looking to the front .
146,Airedale/9.jpg,a brown Airedale dog looking to the front .
147,Airedale/9.jpg,a brown Airedale dog looking to the front in the blank background .
148,Airedale/10.jpg,a dog looking to the front .
149,Airedale/10.jpg,a Airedale dog looking to the front .
150,Airedale/10.jpg,a brown Airedale dog looking to the front .
151,Airedale/10.jpg,a brown Airedale dog looking to the front in the blank background .
152,Airedale/11.jpg,a standing dog looking to the front .
153,Airedale/11.jpg,a standing Airedale dog looking to the front .
154,Airedale/11.jpg,a brown standing Airedale dog looking to the front .
155,Airedale/11.jpg,a brown standing Airedale dog looking to the front on the ground .
156,Airedale/12.jpg,a lying dog looking to the right .
157,Airedale/12.jpg,a lying Airedale dog looking to the right .
158,Airedale/12.jpg,a brown lying Airedale dog looking to the right .
159,Airedale/12.jpg,a brown lying Airedale dog looking to the right on the grass .
160,Airedale/13.jpg,a standing dog looking to the front .
161,Airedale/13.jpg,a standing Airedale dog looking to the front .
162,Airedale/13.jpg,a brown standing Airedale dog looking to the front .
163,Airedale/13.jpg,a brown standing Airedale dog looking to the front on the grass .
164,Airedale/14.jpg,a walking dog looking to the right .
165,Airedale/14.jpg,a walking Airedale dog looking to the right .
166,Airedale/14.jpg,a brown walking Airedale dog looking to the right .
167,Airedale/14.jpg,a brown walking Airedale dog looking to the right in the river .
168,American Hairless/1.jpg,a sitting dog looking to the front .
169,American Hairless/1.jpg,a sitting American Hairless dog looking to the front .
170,American Hairless/1.jpg,a black sitting American Hairless dog looking to the front .
171,American Hairless/1.jpg,a sitting American Hairless dog looking to the front in the blank background .
172,American Hairless/2.jpg,a walking dog looking to the right .
173,American Hairless/2.jpg,a walking American Hairless dog looking to the right .
174,American Hairless/2.jpg,a yellow walking American Hairless dog looking to the right .
175,American Hairless/2.jpg,a walking yellow American Hairless dog looking to the right on the grass .
176,American Hairless/3.jpg,a jumping dog looking to the front .
177,American Hairless/3.jpg,a jumping American Hairless dog looking to the front .
178,American Hairless/3.jpg,a white and black jumping American Hairless dog looking to the front .
179,American Hairless/3.jpg,a white and black jumping American Hairless dog looking to the front on the grass .
180,American Hairless/4.jpg,a standing dog looking to the front .
181,American Hairless/4.jpg,a standing American Hairless dog looking to the front .
182,American Hairless/4.jpg,a black standing American Hairless dog looking to the front .
183,American Hairless/4.jpg,a standing American Hairless dog looking to the front on the grass .
184,American Hairless/5.jpg,a standing dog looking to the left .
185,American Hairless/5.jpg,a standing American Hairless dog looking to the left .
186,American Hairless/5.jpg,a black standing American Hairless dog looking to the left .
187,American Hairless/5.jpg,a standing American Hairless dog looking to the left on the ground .
188,American Hairless/6.jpg,a dog looking to the front .
189,American Hairless/6.jpg,a American Hairless dog looking to the front .
190,American Hairless/6.jpg,a black American Hairless dog looking to the front .
191,American Hairless/6.jpg,a black American Hairless dog looking to the front .
192,American Hairless/7.jpg,a standing dog looking to the right .
193,American Hairless/7.jpg,a standing American Hairless dog looking to the right .
194,American Hairless/7.jpg,a black standing American Hairless dog looking to the right .
195,American Hairless/7.jpg,a black standing American Hairless dog looking to the right in the blank background .
196,American Hairless/8.jpg,a standing dog looking to the front .
197,American Hairless/8.jpg,a standing American Hairless dog looking to the front .
198,American Hairless/8.jpg,a black standing American Hairless dog looking to the front .
199,American Hairless/8.jpg,a black standing American Hairless dog looking to the front on the grass .
200,American Hairless/9.jpg,a standing dog looking to the right .
201,American Hairless/9.jpg,a standing American Hairless dog looking to the right .
202,American Hairless/9.jpg,a white standing American Hairless dog looking to the right .
203,American Hairless/9.jpg,a white standing American Hairless dog looking to the right on the ground .
204,American Hairless/10.jpg,a standing dog looking to the right .
205,American Hairless/10.jpg,a standing American Hairless dog looking to the right .
206,American Hairless/10.jpg,a white standing American Hairless dog looking to the right .
207,American Hairless/10.jpg,a white standing American Hairless dog looking to the right on the ground .
208,American Hairless/11.jpg,a dog looking to the right .
209,American Hairless/11.jpg,a American Hairless dog looking to the right .
210,American Hairless/11.jpg,a brown American Hairless dog looking to the right .
211,American Hairless/11.jpg,a brown American Hairless dog looking to the right on the grass .
212,American Hairless/12.jpg,a standing dog looking to the right .
213,American Hairless/12.jpg,a standing American Hairless dog looking to the right .
214,American Hairless/12.jpg,a yellow standing American Hairless dog looking to the right .
215,American Hairless/12.jpg,a yellow standing American Hairless dog looking to the right in the blank background .
216,American Hairless/13.jpg,a standing dog looking to the left .
217,American Hairless/13.jpg,a standing American Hairless dog looking to the left .
218,American Hairless/13.jpg,a brown standing American Hairless dog looking to the left .
219,American Hairless/13.jpg,a brown standing American Hairless dog looking to the left on the floor .
220,American Hairless/14.jpg,a standing dog looking to the front .
221,American Hairless/14.jpg,a standing American Hairless dog looking to the front .
222,American Hairless/14.jpg,a white and black standing American Hairless dog looking to the front .
223,American Hairless/14.jpg,a white and black standing American Hairless dog looking to the front on the grass .
224,American Spaniel/1.jpg,a standing dog looking to the left .
225,American Spaniel/1.jpg,a standing American Spaniel dog looking to the left .
226,American Spaniel/1.jpg,a brown standing American Spaniel dog looking to the left .
227,American Spaniel/1.jpg,a standing American Spaniel dog looking to the left on the grass .
228,American Spaniel/2.jpg,a standing dog looking to the right .
229,American Spaniel/2.jpg,a standing American Spaniel dog looking to the right .
230,American Spaniel/2.jpg,a brown standing American Spaniel dog looking to the right .
231,American Spaniel/2.jpg,a standing American Spaniel dog looking to the right in the river .
232,American Spaniel/3.jpg,a standing dog looking to the right .
233,American Spaniel/3.jpg,a standing American Spaniel dog looking to the right .
234,American Spaniel/3.jpg,a brown standing American Spaniel dog looking to the right .
235,American Spaniel/3.jpg,a standing American Spaniel dog looking to the right on the ground .
236,American Spaniel/4.jpg,a standing dog looking to the left .
237,American Spaniel/4.jpg,a standing American Spaniel dog looking to the left .
238,American Spaniel/4.jpg,a brown standing American Spaniel dog looking to the left .
239,American Spaniel/4.jpg,a standing American Spaniel dog looking to the left in the blank background .
240,American Spaniel/5.jpg,a standing dog looking to the left .
241,American Spaniel/5.jpg,a standing American Spaniel dog looking to the left .
242,American Spaniel/5.jpg,a brown standing American Spaniel dog looking to the left .
243,American Spaniel/5.jpg,a standing American Spaniel dog looking to the left in the blank background .
244,American Spaniel/6.jpg,a standing dog looking to the front .
245,American Spaniel/6.jpg,a standing American Spaniel dog looking to the front .
246,American Spaniel/6.jpg,a brown standing American Spaniel dog looking to the front .
247,American Spaniel/6.jpg,a standing American Spaniel dog looking to the front in the blank background .
248,American Spaniel/7.jpg,a standing dog looking to the front .
249,American Spaniel/7.jpg,a standing American Spaniel dog looking to the front .
250,American Spaniel/7.jpg,a brown standing American Spaniel dog looking to the front .
251,American Spaniel/7.jpg,a standing American Spaniel dog looking to the front in the blank background .
252,American Spaniel/8.jpg,a dog looking to the front .
253,American Spaniel/8.jpg,a American Spaniel dog looking to the front .
254,American Spaniel/8.jpg,a brown American Spaniel dog looking to the front .
255,American Spaniel/8.jpg,a brown American Spaniel dog looking to the front in the blank background .
256,American Spaniel/9.jpg,a sitting dog looking to the front .
257,American Spaniel/9.jpg,a sitting American Spaniel dog looking to the front .
258,American Spaniel/9.jpg,a brown sitting American Spaniel dog looking to the front .
259,American Spaniel/9.jpg,a brown sitting American Spaniel dog looking to the front on the ground .
260,American Spaniel/10.jpg,a dog looking to the front .
261,American Spaniel/10.jpg,a American Spaniel dog looking to the front .
262,American Spaniel/10.jpg,a brown American Spaniel dog looking to the front .
263,American Spaniel/10.jpg,a brown American Spaniel dog looking to the front on the grass .
264,American Spaniel/11.jpg,a standing dog looking to the left .
265,American Spaniel/11.jpg,a standing American Spaniel dog looking to the left .
266,American Spaniel/11.jpg,a brown standing American Spaniel dog looking to the left .
267,American Spaniel/11.jpg,a standing American Spaniel dog looking to the left on the snow .
268,American Spaniel/12.jpg,a standing dog looking to the left .
269,American Spaniel/12.jpg,a standing American Spaniel dog looking to the left .
270,American Spaniel/12.jpg,a brown standing American Spaniel dog looking to the left .
271,American Spaniel/12.jpg,a standing American Spaniel dog looking to the left on the grass .
272,American Spaniel/13.jpg,a sitting dog looking to the right .
273,American Spaniel/13.jpg,a sitting American Spaniel dog looking to the right .
274,American Spaniel/13.jpg,a brown sitting American Spaniel dog looking to the right .
275,American Spaniel/13.jpg,a sitting American Spaniel dog looking to the right on the grass .
276,American Spaniel/14.jpg,a dog looking to the front .
277,American Spaniel/14.jpg,a American Spaniel dog looking to the front .
278,American Spaniel/14.jpg,a brown American Spaniel dog looking to the front .
279,American Spaniel/14.jpg,a brown American Spaniel dog looking to the front on the grass .
280,Basenji/1.jpg,a walking dog looking to the front .
281,Basenji/1.jpg,a walking Basenji dog looking to the front .
282,Basenji/1.jpg,a white and yellow walking Basenji dog looking to the front .
283,Basenji/1.jpg,a white and yellow walking Basenji dog looking to the front on the grass .
284,Basenji/2.jpg,a standing dog looking to the front .
285,Basenji/2.jpg,a standing Basenji dog looking to the front .
286,Basenji/2.jpg,a white and yellow standing Basenji dog looking to the front .
287,Basenji/2.jpg,a white and yellow standing Basenji dog looking to the front on the grass .
288,Basenji/3.jpg,a dog looking to the front .
289,Basenji/3.jpg,a Basenji dog looking to the front .
290,Basenji/3.jpg,a white and yellow Basenji dog looking to the front .
291,Basenji/3.jpg,a white and yellow Basenji dog looking to the front on the grass .
292,Basenji/4.jpg,a dog looking to the front .
293,Basenji/4.jpg,a Basenji dog looking to the front .
294,Basenji/4.jpg,a white and yellow Basenji dog looking to the front .
295,Basenji/4.jpg,a white and yellow Basenji dog looking to the front in the black background .
296,Basenji/5.jpg,a lying dog looking to the left .
297,Basenji/5.jpg,a lying Basenji dog looking to the left .
298,Basenji/5.jpg,a white and yellow lying Basenji dog looking to the left .
299,Basenji/5.jpg,a white and yellow lying Basenji dog looking to the left on the grass .
300,Basenji/6.jpg,a dog looking to the front .
301,Basenji/6.jpg,a Basenji dog looking to the front .
302,Basenji/6.jpg,a white and black Basenji dog looking to the front .
303,Basenji/6.jpg,a white and black Basenji dog looking to the front .
304,Basenji/7.jpg,a dog looking to the front .
305,Basenji/7.jpg,a Basenji dog looking to the front .
306,Basenji/7.jpg,a white and yellow Basenji dog looking to the front .
307,Basenji/7.jpg,a white and yellow Basenji dog looking to the front on the grass .
308,Basenji/8.jpg,a standing dog looking to the right .
309,Basenji/8.jpg,a standing Basenji dog looking to the right .
310,Basenji/8.jpg,a white and yellow standing Basenji dog looking to the right .
311,Basenji/8.jpg,a white and yellow standing Basenji dog looking to the right on the grass .
312,Basenji/9.jpg,a dog looking to the front .
313,Basenji/9.jpg,a Basenji dog looking to the front .
314,Basenji/9.jpg,a white and yellow Basenji dog looking to the front .
315,Basenji/9.jpg,a white and yellow Basenji dog looking to the front on the grass .
316,Basenji/10.jpg,a standing dog looking to the front .
317,Basenji/10.jpg,a standing Basenji dog looking to the front .
318,Basenji/10.jpg,a white and black standing Basenji dog looking to the front .
319,Basenji/10.jpg,a white and black standing Basenji dog looking to the front on the grass .
320,Basenji/11.jpg,a walking dog looking to the right .
321,Basenji/11.jpg,a walking Basenji dog looking to the right .
322,Basenji/11.jpg,a white and yellow walking Basenji dog looking to the right .
323,Basenji/11.jpg,a white and yellow walking Basenji dog looking to the right on the snow .
324,Basenji/12.jpg,a walking dog looking to the left .
325,Basenji/12.jpg,a walking Basenji dog looking to the left .
326,Basenji/12.jpg,a white and yellow walking Basenji dog looking to the left .
327,Basenji/12.jpg,a white and yellow walking Basenji dog looking to the left on the grass .
328,Basenji/13.jpg,a lying dog looking to the left .
329,Basenji/13.jpg,a lying Basenji dog looking to the left .
330,Basenji/13.jpg,a white and yellow lying Basenji dog looking to the left .
331,Basenji/13.jpg,a white and yellow lying Basenji dog looking to the left on the grass .
332,Basenji/14.jpg,a dog looking to the front .
333,Basenji/14.jpg,a Basenji dog looking to the front .
334,Basenji/14.jpg,a white and yellow Basenji dog looking to the front .
335,Basenji/14.jpg,a white and yellow Basenji dog looking to the front on the grass .
336,Basset/1.jpg,a dog looking to the front .
337,Basset/1.jpg,a Basset dog looking to the front .
338,Basset/1.jpg,a white and yellow Basset dog looking to the front .
339,Basset/1.jpg,a white and yellow Basset dog looking to the front .
340,Basset/2.jpg,a lying dog looking to the front .
341,Basset/2.jpg,a lying Basset dog looking to the front .
342,Basset/2.jpg,a white and black lying Basset dog looking to the front .
343,Basset/2.jpg,a white and black lying Basset dog looking to the front on the grass .
344,Basset/3.jpg,a smiling dog looking to the front .
345,Basset/3.jpg,a smiling Basset dog looking to the front .
346,Basset/3.jpg,a white and yellow smiling Basset dog looking to the front .
347,Basset/3.jpg,a white and yellow smiling Basset dog looking to the front on the grass .
348,Basset/4.jpg,a standing dog looking to the left .
349,Basset/4.jpg,a standing Basset dog looking to the left .
350,Basset/4.jpg,a white and yellow standing Basset dog looking to the left .
351,Basset/4.jpg,a white and yellow standing Basset dog looking to the left on the grass .
352,Basset/5.jpg,a standing dog looking to the front .
353,Basset/5.jpg,a standing Basset dog looking to the front .
354,Basset/5.jpg,a white and yellow standing Basset dog looking to the front .
355,Basset/5.jpg,a white and yellow standing Basset dog looking to the front on the ground .
356,Basset/6.jpg,a lying dog looking to the front .
357,Basset/6.jpg,a lying Basset dog looking to the front .
358,Basset/6.jpg,a white and yellow lying Basset dog looking to the front .
359,Basset/6.jpg,a white and yellow lying Basset dog looking to the front in the blank background .
360,Basset/7.jpg,a lying dog looking to the front .
361,Basset/7.jpg,a lying Basset dog looking to the front .
362,Basset/7.jpg,a white and yellow lying Basset dog looking to the front .
363,Basset/7.jpg,a white and yellow lying Basset dog looking to the front in the blank background .
364,Basset/8.jpg,a sitting dog looking to the front .
365,Basset/8.jpg,a sitting Basset dog looking to the front .
366,Basset/8.jpg,a white and yellow sitting Basset dog looking to the front .
367,Basset/8.jpg,a white and yellow sitting Basset dog looking to the front in the blank background .
368,Basset/9.jpg,a lying dog looking to the front .
369,Basset/9.jpg,a lying Basset dog looking to the front .
370,Basset/9.jpg,a white and yellow lying Basset dog looking to the front .
371,Basset/9.jpg,a white and yellow lying Basset dog looking to the front on the grass .
372,Basset/10.jpg,a standing dog looking to the front .
373,Basset/10.jpg,a standing Basset dog looking to the front .
374,Basset/10.jpg,a white and yellow standing Basset dog looking to the front .
375,Basset/10.jpg,a white and yellow standing Basset dog looking to the front on the ground .
376,Basset/11.jpg,a standing dog looking to the front .
377,Basset/11.jpg,a standing Basset dog looking to the front .
378,Basset/11.jpg,a white and black standing Basset dog looking to the front .
379,Basset/11.jpg,a white and black standing Basset dog looking to the front on the ground .
380,Basset/12.jpg,a sitting dog looking to the front .
381,Basset/12.jpg,a sitting Basset dog looking to the front .
382,Basset/12.jpg,a white and yellow sitting Basset dog looking to the front .
383,Basset/12.jpg,a white and yellow sitting Basset dog looking to the front on the ground .
384,Basset/13.jpg,a sitting dog looking to the front .
385,Basset/13.jpg,a sitting Basset dog looking to the front .
386,Basset/13.jpg,a white and yellow sitting Basset dog looking to the front .
387,Basset/13.jpg,a white and yellow sitting Basset dog looking to the front on the ground .
388,Basset/14.jpg,a sitting dog looking to the front .
389,Basset/14.jpg,a sitting Basset dog looking to the front .
390,Basset/14.jpg,a white and yellow sitting Basset dog looking to the front .
391,Basset/14.jpg,a white and yellow sitting Basset dog looking to the front on the grass .
392,Beagle/1.jpg,a sitting dog looking to the front .
393,Beagle/1.jpg,a sitting Beagle dog looking to the front .
394,Beagle/1.jpg,a white and yellow sitting Beagle dog looking to the front .
395,Beagle/1.jpg,a white and yellow sitting Beagle dog looking to the front on the ground .
396,Beagle/2.jpg,a standing dog looking to the front .
397,Beagle/2.jpg,a standing Beagle dog looking to the front .
398,Beagle/2.jpg,a standing Beagle dog looking to the front .
399,Beagle/2.jpg,a standing Beagle dog looking to the front in the blank background .
400,Beagle/3.jpg,a dog looking to the left .
401,Beagle/3.jpg,a Beagle dog looking to the left .
402,Beagle/3.jpg,a Beagle dog looking to the left .
403,Beagle/3.jpg,a Beagle dog looking to the left on the grass .
404,Beagle/4.jpg,a lying dog looking to the front .
405,Beagle/4.jpg,a lying Beagle dog looking to the front .
406,Beagle/4.jpg,a lying Beagle dog looking to the front .
407,Beagle/4.jpg,a lying Beagle dog looking to the front in the blank background .
408,Beagle/5.jpg,a dog looking to the front .
409,Beagle/5.jpg,a Beagle dog looking to the front .
410,Beagle/5.jpg,a Beagle dog looking to the front .
411,Beagle/5.jpg,a Beagle dog looking to the front in the blank background .
412,Beagle/6.jpg,a lying dog looking to the left .
413,Beagle/6.jpg,a lying Beagle dog looking to the left .
414,Beagle/6.jpg,a lying Beagle dog looking to the left .
415,Beagle/6.jpg,a lying Beagle dog looking to the left on the grass .
416,Beagle/7.jpg,a dog looking to the front .
417,Beagle/7.jpg,a Beagle dog looking to the front .
418,Beagle/7.jpg,a Beagle dog looking to the front .
419,Beagle/7.jpg,a Beagle dog looking to the front on the grass .
420,Beagle/8.jpg,a dog looking to the front .
421,Beagle/8.jpg,a Beagle dog looking to the front .
422,Beagle/8.jpg,a Beagle dog looking to the front .
423,Beagle/8.jpg,a Beagle dog looking to the front on the grass .
424,Beagle/9.jpg,a dog looking to the front .
425,Beagle/9.jpg,a Beagle dog looking to the front .
426,Beagle/9.jpg,a Beagle dog looking to the front .
427,Beagle/9.jpg,a Beagle dog looking to the front on the grass .
428,Beagle/10.jpg,a dog looking to the front .
429,Beagle/10.jpg,a Beagle dog looking to the front .
430,Beagle/10.jpg,a Beagle dog looking to the front .
431,Beagle/10.jpg,a Beagle dog looking to the front on the grass .
432,Beagle/11.jpg,a standing dog looking to the front .
433,Beagle/11.jpg,a standing Beagle dog looking to the front .
434,Beagle/11.jpg,a standing Beagle dog looking to the front .
435,Beagle/11.jpg,a standing Beagle dog looking to the front on the grass .
436,Beagle/12.jpg,a standing dog looking to the right .
437,Beagle/12.jpg,a standing Beagle dog looking to the right .
438,Beagle/12.jpg,a standing Beagle dog looking to the right .
439,Beagle/12.jpg,a standing Beagle dog looking to the right on the grass .
440,Beagle/13.jpg,a standing dog looking to the left .
441,Beagle/13.jpg,a standing Beagle dog looking to the left .
442,Beagle/13.jpg,a standing Beagle dog looking to the left .
443,Beagle/13.jpg,a standing Beagle dog looking to the left in the blank background .
444,Beagle/14.jpg,a standing dog looking to the left .
445,Beagle/14.jpg,a standing Beagle dog looking to the left .
446,Beagle/14.jpg,a standing Beagle dog looking to the left .
447,Beagle/14.jpg,a standing Beagle dog looking to the left in the blank background .
448,Bearded Collie/1.jpg,a standing dog looking to the front .
449,Bearded Collie/1.jpg,a standing Bearded Collie dog looking to the front .
450,Bearded Collie/1.jpg,a white standing Bearded Collie dog looking to the front .
451,Bearded Collie/1.jpg,a white standing Bearded Collie dog looking to the front on the ground .
452,Bearded Collie/2.jpg,a lying dog looking to the right .
453,Bearded Collie/2.jpg,a lying Bearded Collie dog looking to the right .
454,Bearded Collie/2.jpg,a white and black lying Bearded Collie dog looking to the right .
